,Not Sexually Active,Single and Sexually Active,Single and is Parent,Cohabilitating,Cohabilitating and is Parent,Married and Without Children,Married is a Parent,Divorced,Divorced and is a Parent,Prediction,ActualValue,ID,t
1037,1.0745753647695428e-05,7.443468657044657e-05,1.724058606890173e-05,6.494608880306836e-05,1.5217795891139393e-05,1.9160727394163934e-05,0.9943553338223883,0.00010571290468316534,0.00533720763455306,Married is a Parent,Married is a Parent,326,13
1038,9.871873813395384e-06,6.440770509637606e-05,1.6789550834624422e-05,8.863817624203042e-05,1.5689613244624594e-05,2.4837463304592383e-05,0.9948280077126748,0.0001309144276557687,0.00482084347713381,Married is a Parent,Married is a Parent,326,14
1039,9.068444429865775e-06,5.572765538434001e-05,1.6349204109082323e-05,0.00012096482643538039,1.6174959679042964e-05,3.219385399233259e-05,0.995233267583688,0.00016211287273614478,0.004354140599545758,Married is a Parent,Married is a Parent,326,15
1040,2.2228075782782442e-05,9.837749216565502e-05,2.8843553449026373e-05,0.00020249425755549421,1.9793745676113956e-05,9.40368549851404e-05,0.9914555314315338,0.0001653499096306009,0.007913344679221555,Married is a Parent,Married is a Parent,326,16
1041,7.650849319070964e-06,4.171066515514172e-05,1.549965898289315e-05,0.00022524032629613972,1.718761413812735e-05,5.4077285664208086e-05,0.9958389261580598,0.0002485352157757522,0.003551172226608861,Married is a Parent,Married is a Parent,326,17
1042,7.026681783045639e-06,3.60817421475521e-05,1.5089926269314695e-05,0.00030732074646613704,1.7715523909105225e-05,7.007902532591686e-05,0.9960322859617076,0.0003076984872838346,0.0032067019051075446,Married is a Parent,Married is a Parent,326,18
1043,6.452899037563804e-06,3.120986055842749e-05,1.4689805283272109e-05,0.0004192775005015774,1.8258132413082483e-05,9.080822106581313e-05,0.9961429842843055,0.00038091382466310465,0.002895405472171684,Married is a Parent,Married is a Parent,326,19
1044,0.5933793301439749,0.0878949408323038,0.20056104480637305,0.00011912942972457235,0.027790740408315633,5.373506299024485e-06,0.09019412753950017,4.3479791432672316e-05,1.1833542076242636e-05,Not Sexually Active,Not Sexually Active,332,8
1045,0.5681075960598927,0.11751573071241928,0.20038162706593968,0.00016621864828899946,0.02612149110411627,7.537200615984734e-06,0.08761632292487324,7.156351513244994e-05,1.1912768721288045e-05,Not Sexually Active,Not Sexually Active,332,9
1046,0.5378504336533977,0.15536775032240302,0.19797117408500597,0.00022933649690487924,0.024278874815643472,1.0454304181379207e-05,0.08416364354869846,0.00011647390109507498,1.1858872670187805e-05,Not Sexually Active,Not Sexually Active,332,10
